29 32 Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=4) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=4) Move(dir='r', i=4, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=1, n=4) Move(dir='r', i=4, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=4) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=4) Move(dir='c', i=4, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=2, n=3) 
30 35 Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=3, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=1) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=4) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=4) Move(dir='r', i=2, n=4) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=3) Move(dir='c', i=3, n=4) Move(dir='c', i=2, n=4) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=3) 
31 35 Move(dir='c', i=0, n=4) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=0, n=3) Move(dir='r', i=4, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=4, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=4) Move(dir='r', i=4, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=4) 
32 36 Move(dir='r', i=2, n=4) Move(dir='c', i=4, n=1) Move(dir='r', i=4, n=2) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=4) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=4, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=4, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=1) 
33 24 Move(dir='r', i=0, n=2) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=0, n=4) Move(dir='c', i=4, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=1, n=4) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=4) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=4) Move(dir='c', i=4, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=4, n=4) 
34 31 Move(dir='c', i=1, n=2) Move(dir='c', i=2, n=4) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=4) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=4, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=4, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=4, n=3) Move(dir='c', i=4, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=4, n=2) Move(dir='r', i=2, n=1) Move(dir='r', i=0, n=3) 
35 33 Move(dir='c', i=3, n=4) Move(dir='c', i=2, n=4) Move(dir='r', i=0, n=4) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=2) Move(dir='r', i=1, n=4) Move(dir='c', i=2, n=1) Move(dir='c', i=4, n=2) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=4, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=0, n=1) 
36 32 Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=4, n=4) Move(dir='c', i=0, n=4) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=3) Move(dir='c', i=4, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=4, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=4) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=4, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=1, n=4) 
37 32 Move(dir='r', i=1, n=4) Move(dir='c', i=4, n=4) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=1) Move(dir='r', i=0, n=4) Move(dir='r', i=4, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=4) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=2) 
38 38 Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=0, n=4) Move(dir='r', i=2, n=1) Move(dir='c', i=4, n=2) Move(dir='c', i=4, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=1, n=4) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=1) Move(dir='r', i=3, n=4) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=4) Move(dir='r', i=1, n=4) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=4) 
