21 47 Move(dir='r', i=0, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=2, n=2) 
22 55 Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=3) 
23 46 Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) 
24 47 Move(dir='r', i=2, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=2) 
25 50 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=1) 
26 54 Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=3) 
27 46 Move(dir='r', i=0, n=2) Move(dir='c', i=2, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=0, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=2) 
28 49 Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=1, n=3) 
29 64 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=1) 
30 61 Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=1) 
31 60 Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=2, n=1) Move(dir='r', i=2, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=2) 
32 46 Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=3) 
33 46 Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=1, n=2) Move(dir='r', i=1, n=1) 
34 54 Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=1) 
35 47 Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=3) 
