21 48 Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=1) 
22 55 Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=2) 
23 47 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=1) 
24 51 Move(dir='r', i=2, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=3) 
25 48 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=1) 
26 54 Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) 
27 55 Move(dir='r', i=1, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=3) 
28 49 Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=2, n=2) 
29 64 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=1) 
30 61 Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=3) 
